"dateUTC","dateLocal","parameter","location","locationURL","value","unit","city","country","latitude","longitude"
2015-07-02 03:10:00,2015-07-02 08:40:00,"pm25","Anand Vihar","Anand+Vihar",95,"µg/m³","Delhi","IN",NA,NA
2015-07-02 03:40:00,2015-07-02 09:10:00,"pm25","Anand Vihar","Anand+Vihar",76,"µg/m³","Delhi","IN",NA,NA
2015-07-02 04:40:00,2015-07-02 10:10:00,"pm25","Anand Vihar","Anand+Vihar",51,"µg/m³","Delhi","IN",NA,NA
2015-07-02 05:10:00,2015-07-02 10:40:00,"pm25","Anand Vihar","Anand+Vihar",51,"µg/m³","Delhi","IN",NA,NA
2015-07-02 05:40:00,2015-07-02 11:10:00,"pm25","Anand Vihar","Anand+Vihar",103,"µg/m³","Delhi","IN",NA,NA
2015-07-02 05:50:00,2015-07-02 11:20:00,"pm25","Anand Vihar","Anand+Vihar",103,"µg/m³","Delhi","IN",NA,NA
2015-07-02 06:40:00,2015-07-02 12:10:00,"pm25","Anand Vihar","Anand+Vihar",107,"µg/m³","Delhi","IN",NA,NA
2015-07-02 07:10:00,2015-07-02 12:40:00,"pm25","Anand Vihar","Anand+Vihar",107,"µg/m³","Delhi","IN",NA,NA
2015-07-02 07:40:00,2015-07-02 13:10:00,"pm25","Anand Vihar","Anand+Vihar",86,"µg/m³","Delhi","IN",NA,NA
2015-07-02 08:20:00,2015-07-02 13:50:00,"pm25","Anand Vihar","Anand+Vihar",86,"µg/m³","Delhi","IN",NA,NA
2015-07-02 08:30:00,2015-07-02 14:00:00,"pm25","Anand Vihar","Anand+Vihar",89,"µg/m³","Delhi","IN",NA,NA
2015-07-02 09:10:00,2015-07-02 14:40:00,"pm25","Anand Vihar","Anand+Vihar",89,"µg/m³","Delhi","IN",NA,NA
2015-07-02 09:40:00,2015-07-02 15:10:00,"pm25","Anand Vihar","Anand+Vihar",87,"µg/m³","Delhi","IN",NA,NA
2015-07-02 10:10:00,2015-07-02 15:40:00,"pm25","Anand Vihar","Anand+Vihar",87,"µg/m³","Delhi","IN",NA,NA
2015-07-02 10:40:00,2015-07-02 16:10:00,"pm25","Anand Vihar","Anand+Vihar",86,"µg/m³","Delhi","IN",NA,NA
